Date,Time,Open,High,Low,Close,Volume
2019.12.03,8:00,1.10735,1.10748,1.10711,1.10728,1370
2019.12.03,9:00,1.10727,1.10783,1.10716,1.10782,1150
2019.12.03,10:00,1.10781,1.10821,1.10743,1.10761,2874
2019.12.03,11:00,1.1076,1.10848,1.10754,1.10839,4619
2019.12.03,12:00,1.1084,1.10863,1.1076,1.10833,4498
2019.12.03,13:00,1.10834,1.10856,1.10656,1.10724,7372
2019.12.03,14:00,1.10725,1.10776,1.10713,1.10746,4473
2019.12.03,15:00,1.10745,1.10774,1.10711,1.10731,3707
2019.12.03,16:00,1.10732,1.10742,1.10686,1.10719,3381
2019.12.03,17:00,1.1072,1.10874,1.10695,1.10818,6584
2019.12.03,18:00,1.10819,1.1087,1.10753,1.10818,6545
2019.12.03,19:00,1.10819,1.10924,1.10777,1.10886,4693
2019.12.03,20:00,1.10885,1.10931,1.10844,1.10879,2724
2019.12.03,21:00,1.10878,1.10902,1.1082,1.10822,2347
2019.12.03,22:00,1.10821,1.10838,1.10797,1.10807,1902
2019.12.03,23:00,1.10808,1.10829,1.10801,1.10802,1463
2019.12.04,0:00,1.10803,1.10815,1.10788,1.10811,834
2019.12.04,1:00,1.10812,1.10825,1.10805,1.10815,1034
2019.12.04,2:00,1.10814,1.10828,1.10806,1.10814,1397
2019.12.04,3:00,1.10815,1.1084,1.10804,1.10814,2107
2019.12.04,4:00,1.10815,1.10819,1.10763,1.10788,2512
2019.12.04,5:00,1.10787,1.10806,1.10778,1.10793,1156
2019.12.04,6:00,1.10794,1.10808,1.10779,1.10788,869
2019.12.04,7:00,1.10787,1.10788,1.10734,1.10747,1225
2019.12.04,8:00,1.10746,1.10752,1.10733,1.10748,951
2019.12.04,9:00,1.10749,1.10769,1.10738,1.1075,878
2019.12.04,10:00,1.10751,1.10785,1.10727,1.10771,2986
2019.12.04,11:00,1.10772,1.10875,1.10743,1.10835,5562
2019.12.04,12:00,1.10836,1.10874,1.10662,1.1072,8868
2019.12.04,13:00,1.10721,1.1077,1.1071,1.10738,3758
2019.12.04,14:00,1.10737,1.10758,1.1067,1.10684,3281
2019.12.04,15:00,1.10685,1.10807,1.10685,1.10779,3190
2019.12.04,16:00,1.10778,1.11073,1.10758,1.11068,8297
